GEO.id,ZCTA,POPULATION
8600000US56566,56566,668
8600000US56567,56567,3169
8600000US56568,56568,142
8600000US56569,56569,1357
8600000US56570,56570,1238
8600000US56571,56571,1800
8600000US56572,56572,5454
8600000US56573,56573,5993
8600000US56574,56574,266
8600000US56575,56575,763
8600000US56576,56576,799
8600000US56577,56577,21
8600000US56578,56578,747
8600000US56579,56579,1136
8600000US56580,56580,1171
8600000US56581,56581,287
8600000US56583,56583,168
8600000US56584,56584,1553
8600000US56585,56585,1049
8600000US56586,56586,1839
8600000US56587,56587,1404
8600000US56588,56588,568
8600000US56589,56589,1975
8600000US56590,56590,373
8600000US56591,56591,170
8600000US56592,56592,516
8600000US56593,56593,14
8600000US56594,56594,440
8600000US56601,56601,32225
8600000US56621,56621,4639
8600000US56623,56623,2749
8600000US56626,56626,356
8600000US56627,56627,309
8600000US56628,56628,1681
8600000US56629,56629,197
8600000US56630,56630,2117
8600000US56633,56633,4541
8600000US56634,56634,1639
8600000US56636,56636,5137
8600000US56637,56637,227
8600000US56639,56639,459
8600000US56641,56641,324
8600000US56644,56644,787
8600000US56646,56646,355
8600000US56647,56647,839
8600000US56649,56649,9932
8600000US56650,56650,722
8600000US56651,56651,538
8600000US56652,56652,539
8600000US56653,56653,1336
8600000US56654,56654,153
8600000US56655,56655,1303
8600000US56657,56657,304
8600000US56658,56658,6
8600000US56659,56659,54
8600000US56660,56660,240
8600000US56661,56661,942
8600000US56662,56662,511
8600000US56663,56663,220
8600000US56666,56666,1066
8600000US56667,56667,662
8600000US56668,56668,136
8600000US56669,56669,375
8600000US56670,56670,1440
8600000US56671,56671,3371
8600000US56672,56672,2097
8600000US56673,56673,795
8600000US56676,56676,1663
8600000US56678,56678,1321
8600000US56680,56680,117
8600000US56681,56681,318
8600000US56683,56683,772
8600000US56684,56684,282
8600000US56685,56685,117
8600000US56686,56686,984
8600000US56687,56687,73
8600000US56688,56688,157
8600000US56701,56701,12690
8600000US56710,56710,490
8600000US56711,56711,96
8600000US56713,56713,1022
8600000US56714,56714,1157
8600000US56715,56715,350
8600000US56716,56716,9416
8600000US56720,56720,57
8600000US56721,56721,10096
8600000US56722,56722,386
8600000US56723,56723,970
8600000US56724,56724,159
8600000US56725,56725,978
8600000US56726,56726,1631
8600000US56727,56727,769
8600000US56728,56728,1364
8600000US56729,56729,140
8600000US56731,56731,93
8600000US56732,56732,1136
8600000US56733,56733,390
8600000US56734,56734,467
8600000US56735,56735,816
8600000US56736,56736,903
8600000US56737,56737,871
8600000US56738,56738,1368
8600000US56741,56741,23
8600000US56742,56742,918
8600000US56744,56744,621
8600000US56748,56748,600
8600000US56750,56750,2539
8600000US56751,56751,5575
8600000US56754,56754,546
8600000US56755,56755,102
8600000US56756,56756,799
8600000US56757,56757,932
8600000US56758,56758,418
8600000US56759,56759,364
8600000US56760,56760,358
8600000US56761,56761,488
8600000US56762,56762,2494
8600000US56763,56763,5180
8600000US57026,57026,1458
8600000US57030,57030,2959
8600000US57068,57068,1512
8600000US58225,58225,1125
